sigma0,loop_voltage,e_phi_min,e_phi_max,total_toroidal_current,absolute_toroidal_current,max_delta_b,max_feedback,rms_feedback,classification,max_abs_j_phi,max_abs_force,max_joule_heating,integrated_joule_power,integrated_mechanical_power,integrated_electric_power,integrated_power_balance_residual,max_abs_power_balance_residual,net_axisymmetric_torque,max_abs_axisym_divJ,max_wall_normal_current,max_abs_boundary_current,net_boundary_current
1200000.0,0.1,0.007957747154594767,0.015915494309189534,13169.349301844712,13169.349301844712,0.007167756740872897,0.0014335513481745794,0.0008917513958697129,two-way-candidate,18779.57503446956,3970.260875413299,309.99389743999996,1318.3559936340562,-1.4210634495849277,1316.9349301844713,5.836947931417429e-15,1.1368683772161603e-13,9.256727628390095,1.1795009413617663e-10,0.0,0.0,0.0
1200000.0,0.2,0.015915494309189534,0.03183098861837907,26347.452906453014,26347.452906453014,0.014315805305244813,0.0028631610610489627,0.001787234814864922,two-way-candidate,37038.03814618519,7053.235869202668,1195.8730384342155,5270.036214463829,-0.545633173225653,5269.490581290604,-2.5102189580168042e-14,4.547473508864641e-13,9.256727628390095,1.1795009413617663e-10,0.0,0.0,0.0
1200000.0,0.5,0.039788735772973836,0.07957747154594767,65881.76372027793,65881.76372027793,0.03576030314584937,0.007152060629169873,0.004473975076260873,two-way-candidate,92806.94653803448,16891.38390314449,7357.261144574488,32938.80120248311,2.080657655852164,32940.881860138965,9.495373198978763e-14,1.8189894035458565e-12,9.256727628390095,1.1795009413617663e-10,0.0,0.0,0.0
1200000.0,1.0,0.07957747154594767,0.15915494309189535,131772.28174331947,131772.28174331947,0.07150125055127643,0.014300250110255286,0.008951971803262002,strong-two-way-candidate,186390.05307606893,33705.49042001783,29541.880855186897,131765.8239342818,6.457809037648531,131772.28174331944,-7.419951927923654e-13,1.0913936421275139e-11,9.256727628390095,1.1795009413617663e-10,0.0,0.0,0.0
2000000.0,0.0,0.0,0.0,-14.77576670594135,765.3780864416393,0.00027970722560790673,5.594144512158134e-05,3.5205202397333986e-05,weak-feedback,1653.5999999999922,1070.3003430833314,1.2898079999999879,3.7345639661147554,-3.7345639661147727,-1.717376241217039e-14,1.7138539378001703e-17,4.440892098500626e-16,9.256727628390053,1.645048541831784e-10,0.0,0.0,0.0
2000000.0,0.05,0.0039788735772973835,0.007957747154594767,10966.977237134313,10966.977237134313,0.005989588790979169,0.0011979177581958338,0.0007403032472372387,two-way-candidate,16207.763038018726,3501.535401052391,139.61926411858917,551.3446374875334,-2.995775630817704,548.3488618567156,2.028849506935385e-15,5.684341886080802e-14,9.256727628390053,1.645048541831784e-10,0.0,0.0,0.0
2000000.0,0.1,0.007957747154594767,0.015915494309189534,21948.730240974568,21948.730240974568,0.011945930495329373,0.0023891860990658746,0.001486235378639554,two-way-candidate,31299.248459365685,6049.12478136119,516.6562427367954,2197.1300113929774,-2.2569872955206307,2194.8730240974564,-2.3741048898820235e-14,1.1368683772161603e-13,9.256727628390053,1.645048541831784e-10,0.0,0.0,0.0
2000000.0,0.2,0.015915494309189534,0.03183098861837907,43912.23624865507,43912.23624865507,0.0238593445624344,0.00477186891248688,0.002978707880975686,two-way-candidate,61729.997405100316,11354.554654130323,1993.1189263966942,8783.226660355944,-0.7794106249264985,8782.447249731016,6.756698854342323e-14,6.821210263296962e-13,9.256727628390053,1.645048541831784e-10,0.0,0.0,0.0
2000000.0,0.5,0.039788735772973836,0.07957747154594767,109802.75427169658,109802.75427169658,0.059600174175655746,0.01192003483513115,0.007456608399850682,strong-two-way-candidate,154678.24423005746,28143.271436681473,12262.092073808422,54897.72381646144,3.653319386855884,54901.3771358483,-1.3664073627798593e-13,3.637978807091713e-12,9.256727628390053,1.645048541831784e-10,0.0,0.0,0.0
2000000.0,1.0,0.07957747154594767,0.15915494309189535,219620.28431009914,219620.28431009914,0.11916841981149566,0.02383368396229913,0.014919936306055107,strong-two-way-candidate,310650.0884601149,56166.84524635241,49236.46809197817,219609.2431073593,11.041202739826645,219620.28431009914,-1.5430330235190186e-12,1.4551915228366852e-11,9.256727628390053,1.645048541831784e-10,0.0,0.0,0.0
