material,electron_density,electron_temperature_ev,heat_flux,surface_delta_t,surface_temperature_gradient,marangoni_shear,surface_velocity,mean_velocity
Li,7.471670675868067e+19,2.6919419613097215,2552698.0245814966,28.10993569318557,1405.4967846592785,-0.14054967846592786,-0.6246652376263461,-0.31233261881317304
Li,7.920164050192541e+19,2.6919419613097215,2705925.8902546526,29.79725844307591,1489.8629221537956,-0.14898629221537957,-0.6621612987350203,-0.33108064936751014
Li,8.395578619995103e+19,2.6919419613097215,2868351.388625707,31.58586417323959,1579.2932086619794,-0.15792932086619796,-0.7019080927386576,-0.3509540463693288
Li,8.899530352885224e+19,2.6919419613097215,3040526.615404365,33.48183248053719,1674.0916240268596,-0.16740916240268597,-0.7440407217897155,-0.37202036089485774
Li,9.433732216299774e+19,2.6919419613097215,3223036.8063139296,35.49160789479129,1774.5803947395643,-0.17745803947395644,-0.7887023976620287,-0.3943511988310143
Li,1e+20,2.6919419613097215,3416502.326348746,37.62202178419718,1881.101089209859,-0.18811010892098592,-0.8360449285377153,-0.41802246426885764
Li,1e+18,2.828600681137559,36799.392135186295,0.40522950090737647,20.261475045368822,-0.002026147504536882,-0.009005100020163921,-0.004502550010081961
Li,1.0600258488068824e+18,2.828600681137559,39008.30688367815,0.4295537456609309,21.477687283046546,-0.002147768728304655,-0.009545638792465134,-0.004772819396232567
Li,1.1236548001387516e+18,2.828600681137559,41349.81361489029,0.455338073852404,22.7669036926202,-0.0022766903692620203,-0.010118623863386756,-0.005059311931693378
Li,1.191103133283008e+18,2.828600681137559,43831.87127513046,0.48267012822948546,24.133506411474272,-0.002413350641147427,-0.010726002849544121,-0.0053630014247720605
Li,1.2626001098748577e+18,2.828600681137559,46462.91655321418,0.5116428123701872,25.582140618509356,-0.002558214061850936,-0.01136984027489305,-0.005684920137446525
Li,1.3383887531737592e+18,2.828600681137559,49251.89255736421,0.5423546064686482,27.117730323432408,-0.0027117730323432407,-0.01205232458819218,-0.00602616229409609
Li,1.418726674116599e+18,2.828600681137559,52208.27921346537,0.5749099020762515,28.745495103812573,-0.0028745495103812573,-0.012775775601694479,-0.006387887800847239
Li,1.5038869469554132e+18,2.828600681137559,55342.12548800035,0.60941935693586,30.470967846793002,-0.0030470967846793003,-0.013542652376352446,-0.006771326188176223
Li,1.5941590374560028e+18,2.828600681137559,58664.08354519457,0.6460002711152795,32.300013555763975,-0.0032300013555763975,-0.014355561580339545,-0.007177780790169772
Li,1.689849786812462e+18,2.828600681137559,62185.44495447275,0.6847769857184504,34.23884928592252,-0.003423884928592252,-0.015217266349298899,-0.0076086331746494495
Li,1.7912844546220096e+18,2.828600681137559,65918.17907129865,0.725881305529619,36.29406527648095,-0.0036294065276480953,-0.01613069567843598,-0.00806534783921799
Li,1.898807824465269e+18,2.828600681137559,69874.97372185742,0.7694529470270822,38.47264735135411,-0.0038472647351354113,-0.017098954378379605,-0.008549477189189802
Li,2.0127853758499466e+18,2.828600681137559,74069.2783298705,0.8156400132893399,40.78200066446699,-0.004078200066446699,-0.018125333628651995,-0.009062666814325998
Li,2.133604526501402e+18,2.828600681137559,78515.34963213357,0.8645994974078823,43.229974870394116,-0.004322997487039412,-0.019213322164619608,-0.009606661082309804
Li,2.2616759492228552e+18,2.828600681137559,83228.30013817151,0.9164978161177944,45.824890805889716,-0.004582489080588972,-0.020366618135950986,-0.010183309067975493
Li,2.3974349678010685e+18,2.828600681137559,88224.14949871924,0.9715113754599191,48.57556877299595,-0.004857556877299596,-0.02158914167688709,-0.010794570838443545
Li,2.541343036702629e+18,2.828600681137559,93519.87895764517,1.0298271703974426,51.49135851987213,-0.005149135851987213,-0.022885048231054285,-0.011442524115527142
Li,2.693889309590164e+18,2.828600681137559,99133.48907239469,1.0916434204249388,54.582171021246936,-0.005458217102124694,-0.02425874267610975,-0.012129371338054876
Li,2.8555923019901005e+18,2.828600681137559,105084.06089915303,1.1571702433303945,57.85851216651972,-0.005785851216651972,-0.02571489429623099,-0.012857447148115495
Li,3.0270016537634555e+18,2.828600681137559,111391.82085069879,1.226630369400368,61.331518470018395,-0.00613315184700184,-0.027258452653341512,-0.013629226326670756
Li,3.208699997370444e+18,2.828600681137559,118078.20944740617,1.3002598984959248,65.01299492479625,-0.006501299492479625,-0.028894664411020555,-0.014447332205510277
Li,3.401304938279246e+18,2.828600681137559,125165.95419508356,1.3783091025726932,68.91545512863466,-0.006891545512863467,-0.030629091168282076,-0.015314545584141038
Li,3.6054711542504986e+18,2.828600681137559,132679.14683736683,1.4610432763728718,73.05216381864359,-0.007305216381864359,-0.0324676283638416,-0.0162338141819208
