material,electron_density,electron_temperature_ev,ion_current_density,net_current_density,ohmic_heat_flux,plasma_heat_flux,retained_heat_flux,delta_b,feedback,classification,semi_infinite_delta_t
Li,4.825522042741279e+18,60.94534021928508,41629.35664117734,832.5871328235469,0.004332508335895841,17759807.125245556,17759807.129578065,1.0462598479807376e-05,2.0925196959614754e-06,weak-feedback,195.56838745846727
Li,5.115178099293145e+18,60.94534021928508,44128.194108848445,882.563882176969,0.004868243788270517,18825854.62258494,18825854.627453182,1.1090624834283415e-05,2.218124966856683e-06,weak-feedback,207.30754591849066
Li,5.422221006501592e+18,60.94534021928508,46777.02641654694,935.5405283309389,0.005470225500935826,19955892.525820572,19955892.531290796,1.1756349003759964e-05,2.351269800751993e-06,weak-feedback,219.75135732973087
Li,5.747694424835359e+18,60.94534021928508,49584.85713186214,991.6971426372428,0.00614664514196795,21153761.913381875,21153761.919528518,1.2462033831580607e-05,2.4924067663161214e-06,weak-feedback,232.9421190837453
Li,6.092704661368687e+18,60.94534021928508,52561.230269170155,1051.224605383403,0.006906707318521822,22423534.42769132,22423534.43459803,1.3210077990181313e-05,2.6420155980362627e-06,weak-feedback,246.92466750892783
Li,6.458424430196991e+18,60.94534021928508,55716.262730411094,1114.325254608222,0.007760754831610492,23769526.114963844,23769526.1227246,1.4003024134347064e-05,2.8006048268694127e-06,weak-feedback,261.7465302723478
Li,6.846096838574672e+18,60.94534021928508,59060.67869315129,1181.2135738630259,0.008720409419239138,25196312.095751908,25196312.104472317,1.4843567543874508e-05,2.9687135087749017e-06,weak-feedback,277.45808792963953
Li,7.257039612324231e+18,60.94534021928508,62605.84606281826,1252.1169212563652,0.009798729903103242,26708742.11610253,26708742.125901263,1.5734565285017867e-05,3.1469130570035733e-06,weak-feedback,294.11274517206095
Li,7.692649574879161e+18,60.94534021928508,66363.81511301194,1327.2763022602387,0.011010389890885078,28311957.032185715,28311957.043196104,1.6679045921858368e-05,3.3358091843716736e-06,weak-feedback,311.76711235280186
Li,8.154407395185187e+18,60.94534021928508,70347.3594452335,1406.94718890467,0.012371877452292205,30011406.28442665,30011406.296798527,1.768021981060689e-05,3.5360439621213783e-06,weak-feedback,330.48119790956423
Li,8.643882620598297e+18,60.94534021928508,74570.01940725649,1491.40038814513,0.013901719485996528,31812866.420537565,31812866.434439283,1.8741490011830827e-05,3.7482980023661655e-06,weak-feedback,350.31861233746974
Li,9.162739011886769e+18,60.94534021928508,79046.14811772275,1580.9229623544552,0.015620733830622414,33722460.7304103,33722460.74603103,1.9866463857696678e-05,3.973292771539335e-06,weak-feedback,371.34678440561606
Li,9.712740198471207e+18,60.94534021928508,83790.96025340361,1675.8192050680723,0.01755231255046866,35746680.05960994,35746680.07716226,2.1058965213546175e-05,4.211793042709235e-06,weak-feedback,393.6371903522147
Li,1.0295755673125085e+19,60.94534021928508,88820.58376495719,1776.4116752991438,0.019722740250869442,37892404.87221577,37892404.89193851,2.2323047475483708e-05,4.464609495096742e-06,weak-feedback,417.2655968373576
Li,1.0913767146512693e+19,60.94534021928508,94152.11469697155,1883.042293939431,0.022161551754779216,40166928.63800457,40166928.66016612,2.3663007348155952e-05,4.732601469631191e-06,weak-feedback,442.3123184792496
Li,1.1568875283162786e+19,60.94534021928508,99803.67529862022,1996.0735059724045,0.024901934007781044,42577982.62346627,42577982.6483682,2.5083399449552513e-05,5.016679889910503e-06,weak-feedback,468.8624908492347
Li,1.2263306841775593e+19,60.94534021928508,105794.47562246637,2115.8895124493274,0.027981177680581577,45133762.17092452,45133762.1989057,2.658905179247399e-05,5.3178103584947975e-06,weak-feedback,497.0063598536172
Li,1.2999422244132422e+19,60.94534021928508,112144.87882078395,2242.897576415679,0.03144118461432079,47842954.55508223,47842954.58652341,2.8185082195287393e-05,5.637016439057478e-06,weak-feedback,526.8395884858551
Li,1.377972359833554e+19,60.94534021928508,118876.47036134648,2377.52940722693,0.03532903801393023,50714768.51168014,50714768.54700918,2.9876915677751274e-05,5.9753831355502545e-06,weak-feedback,558.4635819918171
Li,1.460686320364986e+19,60.94534021928508,126012.13139795251,2520.2426279590504,0.03969764314863713,53758965.5386383,53758965.57833594,3.167030290103995e-05,6.33406058020799e-06,weak-feedback,591.9858325533621
Li,1.548365256585496e+19,60.94534021928508,133576.116545079,2671.5223309015805,0.04460644727816134,56985893.076075,56985893.12068145,3.357133971464595e-05,6.714267942929189e-06,weak-feedback,627.5202846618416
Li,1.6413071953751267e+19,60.94534021928508,141594.13632102442,2831.8827264204883,0.05012224860124212,60406519.677984655,60406519.7281069,3.558648787660176e-05,7.117297575320353e-06,weak-feedback,665.1877224234598
Li,1.7398280529303622e+19,60.94534021928508,150093.44453977133,3001.8688907954265,0.05632010523453353,64032472.29512531,64032472.35144542,3.7722597017450616e-05,7.5445194034901235e-06,weak-feedback,705.1161801129641
Li,1.8442627085855328e+19,60.94534021928508,159102.93094861985,3182.058618972397,0.06328435659110325,67876075.79584341,67876075.85912776,3.998692792262307e-05,7.997385584524614e-06,weak-feedback,747.4413773711733
Li,1.9549661430912594e+19,60.94534021928508,168653.21942647354,3373.0643885294708,0.07110977105728558,71950394.85916919,71950394.93027896,4.2387177212358136e-05,8.477435442471628e-06,weak-feedback,792.3071805256047
Li,2.0723146452190294e+19,60.94534021928508,178776.77207656103,3575.535441531221,0.07990283558528664,76269278.38258117,76269278.46248402,4.493150350305768e-05,8.986300700611536e-06,weak-feedback,839.8660916022669
Li,2.1967070907932353e+19,60.94534021928508,189507.99956741117,3790.1599913482237,0.0897832047501048,80847406.55538402,80847406.64516723,4.762855513899813e-05,9.525711027799626e-06,weak-feedback,890.2797666907977
Li,2.3285662984981967e+19,60.94534021928508,200883.37809713936,4017.6675619427874,0.10088532898929566,85700340.75770608,85700340.85859141,5.04874995886619e-05,1.009749991773238e-05,weak-feedback,943.7195654249148
Li,2.468340467068651e+19,60.94534021928508,212941.57337861403,4258.83146757228,0.11336028418239914,90844576.45472643,90844576.56808671,5.351805460560846e-05,1.0703610921121692e-05,weak-feedback,1000.367133445895
Li,2.6165046987488236e+19,60.94534021928508,225723.57206693836,4514.471441338767,0.1273778274666458,96297599.2659231,96297599.39330092,5.6730521259803185e-05,1.1346104251960637e-05,weak-feedback,1060.415019828921
Li,2.773562614198418e+19,60.94534021928508,239272.82107597782,4785.456421519556,0.1431287072641422,102077944.39992516,102077944.54305387,6.013581895167975e-05,1.2027163790335951e-05,weak-feedback,1124.0673315709691
Li,2.9400480643347137e+19,60.94534021928508,253635.37525748071,5072.707505149614,0.16082725895500763,108205259.6569924,108205259.81781967,6.374552252795135e-05,1.274910450559027e-05,weak-feedback,1191.5404273648903
Li,3.1165269449294365e+19,60.94534021928508,268860.05394476315,5377.201078895263,0.1807143215179524,114700372.21327251,114700372.39398684,6.757190162532988e-05,1.3514380325065976e-05,weak-feedback,1263.0636530178708
Li,3.303599120128346e+19,60.94534021928508,284998.6068930618,5699.972137861236,0.2030605148274649,121585359.41383953,121585359.61690004,7.162796237588547e-05,1.4325592475177093e-05,weak-feedback,1338.8801210140114
Li,3.50190046143172e+19,60.94534021928508,302105.89018059673,6042.1178036119345,0.22816992220452692,128883623.8151451,128883624.04331502,7.59274916158054e-05,1.518549832316108e-05,weak-feedback,1419.2475368708176
Li,3.712105009066372e+19,60.94534021928508,320240.0526682459,6404.8010533649185,0.2563842283324023,136619972.73195612,136619972.98834035,8.048510374782159e-05,1.6097020749564317e-05,weak-feedback,1504.4390750984383
Li,3.934927263095861e+19,60.94534021928508,339462.7336516181,6789.254673032363,0.2880873688455736,144820702.55916494,144820702.8472523,8.531629041659458e-05,1.7063258083318916e-05,weak-feedback,1594.744307739105
Li,4.171124612056533e+19,60.94534021928508,359839.27237736114,7196.785447547223,0.32371075486267176,153513688.15508786,153513688.47879863,9.043747316590515e-05,1.808749463318103e-05,weak-feedback,1690.4701886429436
Li,4.421499907374468e+19,60.94534021928508,381438.93013586005,7628.7786027172015,0.3637391435579739,162728477.59007075,162728477.9538099,9.586605925663747e-05,1.9173211851327494e-05,weak-feedback,1791.9420968257677
Li,4.6869041923142115e+19,60.94534021928508,404335.12568525755,8086.702513705151,0.4087172346572826,172496392.58246788,172496392.99118513,0.00010162050083528888,2.0324100167057778e-05,weak-feedback,1899.5049424553968
Li,4.9682395947343675e+19,60.94534021928508,428605.6848069491,8572.113696138982,0.4592570826220845,182850634.96335426,182850635.42261136,0.0001077203576541067,2.1544071530821338e-05,weak-feedback,2013.524339225511
Li,5.266462393484259e+19,60.94534021928508,454333.1048409414,9086.662096818827,0.5160464253860245,193826399.53190705,193826400.0479535,0.00011418636355607542,2.2837272711215083e-05,weak-feedback,2134.3878471026287
Li,5.582586268862678e+19,60.94534021928508,481604.8351000852,9632.096702001703,0.5798580429794505,205460993.68499163,205460994.26484966,0.00012104049695070011,2.420809939014002e-05,weak-feedback,2262.506289669637
Li,5.917685748188806e+19,60.94534021928508,510513.5741164664,10210.271482329328,0.6515602733929221,217793964.22763872,217793964.879199,0.00012830605552017273,2.5661211104034546e-05,weak-feedback,2398.3151505442574
Li,6.272899858196231e+19,60.94534021928508,541157.5847302426,10823.151694604852,0.7321288287776744,230867231.7954186,230867232.52754742,0.0001360077354098341,2.720154708196682e-05,weak-feedback,2542.276053618614
Li,6.649435996665032e+19,60.94534021928508,573641.0280919578,11472.820561839157,0.822660072775996,244725233.34563386,244725234.16829392,0.00014417171517211127,2.8834343034422254e-05,weak-feedback,2694.878332151465
Li,7.048574036451889e+19,60.94534021928508,608074.3177136303,12161.486354272605,0.9243859396572424,259415073.20166796,259415074.1260539,0.00015282574474926133,3.0565148949852265e-05,weak-feedback,2856.6406920465483
Li,7.471670675868067e+19,60.94534021928508,644574.4947720569,12891.489895441138,1.038690698276631,274986683.1638976,274986684.20258826,0.00016199923979737973,3.2399847959475944e-05,weak-feedback,3028.112974970614
Li,7.920164050192541e+19,60.94534021928508,683265.6259400169,13665.31251880034,1.167129788978008,291492992.2313998,291492993.3985296,0.00017172338167228713,3.434467633445743e-05,weak-feedback,3209.8780273041416
Li,8.395578619995103e+19,60.94534021928508,724279.2250976323,14485.584501952646,1.3114509897700668,308990106.5113475,308990107.8227985,0.00018203122341715438,3.6406244683430876e-05,weak-feedback,3402.5536812774094
Li,8.899530352885224e+19,60.94534021928508,767754.7003573087,15355.094007146175,1.4736181998018525,327537499.9276202,327537501.4012384,0.00019295780211212436,3.8591560422424874e-05,weak-feedback,3606.7948550259666
Li,9.433732216299774e+19,60.94534021928508,813839.8279217299,16276.796558434598,1.6558381637791775,347198216.3768598,347198218.032698,0.00020454025796781507,4.0908051593563015e-05,weak-feedback,3823.295778703721
Li,1e+20,60.94534021928508,862691.2543855789,17253.82508771158,1.8605905009834094,368039084.0191164,368039085.8797069,0.00021681796056751188,4.336359211350238e-05,weak-feedback,4052.7923542203825
Li,1e+18,64.03928217403187,8843.178066494454,176.86356132988908,0.00019550449578932148,3964175.4286081353,3964175.42880364,2.2225330598468297e-06,4.4450661196936594e-07,weak-feedback,43.652917543368865
Li,1.0600258488068824e+18,64.03928217403187,9373.99733608619,187.4799467217238,0.00021967956514237744,4202128.4235297255,4202128.423749405,2.3559424932654932e-06,4.7118849865309864e-07,weak-feedback,46.27322097194341
Li,1.1236548001387516e+18,64.03928217403187,9936.679482898218,198.73358965796436,0.000246843997864626,4454364.748947624,4454364.749194468,2.497359941163957e-06,4.994719882327914e-07,weak-feedback,49.05081033796668
Li,1.191103133283008e+18,64.03928217403187,10533.137103181116,210.66274206362232,0.0002773674430860267,4721741.773898661,4721741.774176029,2.64726609140863e-06,5.29453218281726e-07,weak-feedback,51.99512686334148
Li,1.2626001098748577e+18,64.03928217403187,11165.39759839883,223.30795196797658,0.0003116652588258258,5005168.331723843,5005168.332035508,2.8061704855631104e-06,5.612340971126221e-07,weak-feedback,55.116178487329435
Li,1.3383887531737592e+18,64.03928217403187,11835.610066509047,236.71220133018096,0.0003502041641161258,5305607.8092568945,5305607.809607099,2.9746132508558585e-06,5.949226501711717e-07,weak-feedback,58.4245738842414
Li,1.418726674116599e+18,64.03928217403187,12546.052606898533,250.92105213797066,0.0003935085900376637,5624081.4214439625,5624081.421837471,3.1531669361106806e-06,6.306333872221361e-07,weak-feedback,61.93155852306877
Li,1.5038869469554132e+18,64.03928217403187,13299.140063803417,265.98280127606836,0.00044216781609165295,5961671.682525154,5961671.682967322,3.342438457880521e-06,6.684876915761041e-07,weak-feedback,65.6490528916248
Li,1.5941590374560028e+18,64.03928217403187,14097.432234534834,281.94864469069665,0.0004968439890182545,6319526.085576681,6319526.086073525,3.543071163399566e-06,7.086142326799132e-07,weak-feedback,69.58969301512232
Li,1.689849786812462e+18,64.03928217403187,14943.642570410295,298.8728514082059,0.000558281133180447,6698861.002920657,6698861.003478939,3.7557470173658146e-06,7.511494034731629e-07,weak-feedback,73.76687340691355
Li,1.7912844546220096e+18,64.03928217403187,15840.647399965836,316.8129479993167,0.0006273152751251109,7100965.820660295,7100965.821287611,3.981188919987115e-06,7.96237783997423e-07,weak-feedback,78.19479259738456
Li,1.898807824465269e+18,64.03928217403187,16791.495705799316,335.82991411598636,0.0007048858200946923,7527207.321394088,7527207.322098973,4.220163164169896e-06,8.440326328339792e-07,weak-feedback,82.88850139576022
Li,2.0127853758499466e+18,64.03928217403187,17799.419488277043,355.98838976554083,0.0007920483352991413,7979034.330006148,7979034.330798196,4.473482040202732e-06,8.946964080405464e-07,weak-feedback,87.86395404886507
Li,2.133604526501402e+18,64.03928217403187,18867.844751330485,377.3568950266097,0.0008899889139007735,8457982.638323953,8457982.639213942,4.742006596788208e-06,9.484013193576416e-07,weak-feedback,93.13806247073133
Li,2.2616759492228552e+18,64.03928217403187,20000.403147685578,400.00806295371154,0.001000040315174878,8965680.225383224,8965680.226383265,5.026649567808255e-06,1.005329913561651e-06,weak-feedback,98.72875372738903
Li,2.3974349678010685e+18,64.03928217403187,21200.944323105246,424.01888646210494,0.0011237001004785216,9503852.791042931,9503852.792166632,5.328378474770694e-06,1.065675694954139e-06,weak-feedback,104.65503097222188
Li,2.541343036702629e+18,64.03928217403187,22473.549001607094,449.4709800321419,0.001262651011819088,10074329.621760942,10074329.623023594,5.648218915483127e-06,1.1296437830966253e-06,weak-feedback,110.93703803902743
Li,2.693889309590164e+18,64.03928217403187,23822.542856131622,476.45085712263244,0.0014187838703305696,10679049.808467463,10679049.809886247,5.987258050132089e-06,1.1974516100264179e-06,weak-feedback,117.59612791232617
Li,2.8555923019901005e+18,64.03928217403187,25252.511211809262,505.0502242361853,0.0015942233062563812,11320068.837671699,11320068.839265922,6.3466482966171095e-06,1.269329659323422e-06,weak-feedback,124.65493530766038
Li,3.0270016537634555e+18,64.03928217403187,26768.314631803427,535.3662926360686,0.001791356670568054,11999565.57820528,11999565.579996636,6.727611247700306e-06,1.3455222495400612e-06,weak-feedback,132.13745360858672
Li,3.208699997370444e+18,64.03928217403187,28375.10543870712,567.5021087741424,0.0020128665216443656,12719849.6873509,12719849.689363766,7.131441823286245e-06,1.426288364657249e-06,weak-feedback,140.06911642187734
Li,3.401304938279246e+18,64.03928217403187,30078.3452276503,601.566904553006,0.0022617671290842837,13483369.461530095,13483369.463791862,7.559512671945904e-06,1.5119025343891807e-06,weak-feedback,148.47688402814092
Li,3.6054711542504986e+18,64.03928217403187,31883.82343064645,637.676468612929,0.0025414454913915995,14292720.158235239,14292720.160776684,8.013278836645841e-06,1.6026557673291683e-06,weak-feedback,157.3893350217159
Li,3.821892620633115e+18,64.03928217403187,33797.67699527977,675.9535399055954,0.002855707425693159,15150652.817492547,15150652.820348253,8.494282700541735e-06,1.698856540108347e-06,weak-feedback,166.8367634513259
