material,electron_density,electron_temperature_ev,heat_flux,retained_heat_flux,semi_infinite_delta_t,lumped_delta_t,thermal_regime
Li,2.1967070907932353e+19,2.6919419613097215,750505.4886001875,750505.4886001875,8.26445620233235,1.7869178300004465,transient-slab
Li,2.3285662984981967e+19,2.6919419613097215,795555.217587638,795555.217587638,8.760537200804656,1.8941790894943762,transient-slab
Li,2.468340467068651e+19,2.6919419613097215,843309.0947960798,843309.0947960798,9.286395882287223,2.0078787971335235,transient-slab
Li,2.6165046987488236e+19,2.6919419613097215,893929.4390177781,893929.4390177781,9.843819677478251,2.128403426232805,transient-slab
Li,2.773562614198418e+19,2.6919419613097215,947588.3123682805,947588.3123682805,10.434703309120776,2.2561626484959056,transient-slab
Li,2.9400480643347137e+19,2.6919419613097215,1004468.1051376677,1004468.1051376677,11.061055232298735,2.3915907265182565,transient-slab
Li,3.1165269449294365e+19,2.6919419613097215,1064762.155747997,1064762.155747997,11.725004461317274,2.535147989876184,transient-slab
Li,3.303599120128346e+19,2.6919419613097215,1128675.4079242167,1128675.4079242167,12.428807806372328,2.6873223998195637,transient-slab
Li,3.50190046143172e+19,2.6919419613097215,1196425.1073123221,1196425.1073123221,13.174857544607434,2.8486312078864815,transient-slab
Li,3.712105009066372e+19,2.6919419613097215,1268241.5399126096,1268241.5399126096,13.965689551632254,3.0196227140776424,transient-slab
Li,3.934927263095861e+19,2.6919419613097215,1344368.8148380115,1344368.8148380115,14.803991921142387,3.2008781305666942,transient-slab
Li,4.171124612056533e+19,2.6919419613097215,1425065.694058166,1425065.694058166,15.692614101939192,3.3930135572813476,transient-slab
Li,4.421499907374468e+19,2.6919419613097215,1510606.4719495638,1510606.4719495638,16.634576583406805,3.59668207607039,transient-slab
Li,4.6869041923142115e+19,2.6919419613097215,1601281.9076415196,1601281.9076415196,17.633081162369034,3.812575970575047,transient-slab
Li,4.9682395947343675e+19,2.6919419613097215,1697400.2133267922,1697400.2133267922,18.691521826220736,4.041429079349506,transient-slab
Li,5.266462393484259e+19,2.6919419613097215,1799288.101896716,1799288.101896716,19.813496289332004,4.284019290230276,transient-slab
Li,5.582586268862678e+19,2.6919419613097215,1907291.8974611908,1907291.8974611908,21.002818221931175,4.541171184431406,transient-slab
Li,5.917685748188806e+19,2.6919419613097215,2021778.712528788,2021778.712528788,22.26353021303925,4.813758839354257,transient-slab
Li,6.272899858196231e+19,2.6919419613097215,2143137.695848014,2143137.695848014,23.599917511514594,5.102708799638129,transient-slab
Li,6.649435996665032e+19,2.6919419613097215,2271781.3551513175,2271781.3551513175,25.016522591915667,5.409003226550756,transient-slab
Li,7.048574036451889e+19,2.6919419613097215,2408146.9592979252,2408146.9592979252,26.518160594691963,5.733683236423632,transient-slab
Li,7.471670675868067e+19,2.6919419613097215,2552698.0245814966,2552698.0245814966,28.10993569318557,6.077852439479754,transient-slab
Li,7.920164050192541e+19,2.6919419613097215,2705925.8902546526,2705925.8902546526,29.79725844307591,6.442680691082507,transient-slab
Li,8.395578619995103e+19,2.6919419613097215,2868351.388625707,2868351.388625707,31.58586417323959,6.829408068156446,transient-slab
Li,8.899530352885224e+19,2.6919419613097215,3040526.615404365,3040526.615404365,33.48183248053719,7.239349084296108,transient-slab
Li,9.433732216299774e+19,2.6919419613097215,3223036.8063139296,3223036.8063139296,35.49160789479129,7.673897157890309,transient-slab
Li,1e+20,2.6919419613097215,3416502.326348746,3416502.326348746,37.62202178419718,8.134529348449396,transient-slab
Li,1e+18,2.828600681137559,36799.392135186295,36799.392135186295,0.40522950090737647,0.08761760032187214,transient-slab
Li,1.0600258488068824e+18,2.828600681137559,39008.30688367815,39008.30688367815,0.4295537456609309,0.09287692115161465,transient-slab
Li,1.1236548001387516e+18,2.828600681137559,41349.81361489029,41349.81361489029,0.455338073852404,0.09845193717831022,transient-slab
Li,1.191103133283008e+18,2.828600681137559,43831.87127513046,43831.87127513046,0.48267012822948546,0.10436159827412016,transient-slab
Li,1.2626001098748577e+18,2.828600681137559,46462.91655321418,46462.91655321418,0.5116428123701872,0.11062599179336709,transient-slab
Li,1.3383887531737592e+18,2.828600681137559,49251.89255736421,49251.89255736421,0.5423546064686482,0.11726641085086718,transient-slab
Li,1.418726674116599e+18,2.828600681137559,52208.27921346537,52208.27921346537,0.5749099020762515,0.12430542669872707,transient-slab
Li,1.5038869469554132e+18,2.828600681137559,55342.12548800035,55342.12548800035,0.60941935693586,0.13176696544761987,transient-slab
Li,1.5941590374560028e+18,2.828600681137559,58664.08354519457,58664.08354519457,0.6460002711152795,0.13967638939332042,transient-slab
Li,1.689849786812462e+18,2.828600681137559,62185.44495447275,62185.44495447275,0.6847769857184504,0.14806058322493512,transient-slab
Li,1.7912844546220096e+18,2.828600681137559,65918.17907129865,65918.17907129865,0.725881305529619,0.15694804540785393,transient-slab
Li,1.898807824465269e+18,2.828600681137559,69874.97372185742,69874.97372185742,0.7694529470270822,0.16636898505204148,transient-slab
Li,2.0127853758499466e+18,2.828600681137559,74069.2783298705,74069.2783298705,0.8156400132893399,0.17635542459492978,transient-slab
Li,2.133604526501402e+18,2.828600681137559,78515.34963213357,78515.34963213357,0.8645994974078823,0.1869413086479371,transient-slab
Li,2.2616759492228552e+18,2.828600681137559,83228.30013817151,83228.30013817151,0.9164978161177944,0.19816261937659885,transient-slab
Li,2.3974349678010685e+18,2.828600681137559,88224.14949871924,88224.14949871924,0.9715113754599191,0.2100574988064744,transient-slab
Li,2.541343036702629e+18,2.828600681137559,93519.87895764517,93519.87895764517,1.0298271703974426,0.22266637847058374,transient-slab
Li,2.693889309590164e+18,2.828600681137559,99133.48907239469,99133.48907239469,1.0916434204249388,0.236032116839035,transient-slab
Li,2.8555923019901005e+18,2.828600681137559,105084.06089915303,105084.06089915303,1.1571702433303945,0.25020014499798343,transient-slab
Li,3.0270016537634555e+18,2.828600681137559,111391.82085069879,111391.82085069879,1.226630369400368,0.26521862107309235,transient-slab
Li,3.208699997370444e+18,2.828600681137559,118078.20944740617,118078.20944740617,1.3002598984959248,0.28113859392239565,transient-slab
Li,3.401304938279246e+18,2.828600681137559,125165.95419508356,125165.95419508356,1.3783091025726932,0.2980141766549608,transient-slab
Li,3.6054711542504986e+18,2.828600681137559,132679.14683736683,132679.14683736683,1.4610432763728718,0.3159027305651591,transient-slab
Li,3.821892620633115e+18,2.828600681137559,140643.32524525278,140643.32524525278,1.548743639180742,0.3348650601077447,transient-slab
Li,4.051304969235378e+18,2.828600681137559,149085.5602221215,149085.5602221215,1.6417082907068263,0.3549656195764798,transient-slab
Li,4.294487988789272e+18,2.828600681137559,158034.5475193039,158034.5475193039,1.740253224349799,0.3762727321888188,transient-slab
Li,4.5522682755073096e+18,2.828600681137559,167520.70537496172,167520.70537496172,1.84471340128031,0.39885882232133746,transient-slab
Li,4.825522042741279e+18,2.828600681137559,177576.27790782147,177576.27790782147,1.9554438889975916,0.4228006616852892,transient-slab
Li,5.115178099293145e+18,2.828600681137559,188235.44471720528,188235.44471720528,2.0728210682289028,0.44817963027906016,transient-slab
Li,5.422221006501592e+18,2.828600681137559,199534.43706189655,199534.43706189655,2.197243912274132,0.4750819930045156,transient-slab
Li,5.747694424835359e+18,2.828600681137559,211511.66101274037,211511.66101274037,2.3291353431441424,0.5035991928874771,transient-slab
Li,6.092704661368687e+18,2.828600681137559,224207.82799758366,224207.82799758366,2.468943669102478,0.5338281618990087,transient-slab
Li,6.458424430196991e+18,2.828600681137559,237666.09318228613,237666.09318228613,2.6171441084967335,0.5658716504340147,transient-slab
Li,6.846096838574672e+18,2.828600681137559,251932.20215816848,251932.20215816848,2.774240405059181,0.5998385765670678,transient-slab
Li,7.257039612324231e+18,2.828600681137559,267054.64643449965,267054.64643449965,2.9407665401672087,0.6358443962726181,transient-slab
Li,7.692649574879161e+18,2.828600681137559,283084.8282645523,283084.8282645523,3.117288547883623,0.6740114958679816,transient-slab
Li,8.154407395185187e+18,2.828600681137559,300077.2353654827,300077.2353654827,3.3044064389463124,0.714469608013054,transient-slab
Li,8.643882620598297e+18,2.828600681137559,318089.6261259184,318089.6261259184,3.5027562402469927,0.7573562526807581,transient-slab
Li,9.162739011886769e+18,2.828600681137559,337183.2259307906,337183.2259307906,3.713012156731423,0.8028172045971205,transient-slab
Li,9.712740198471207e+18,2.828600681137559,357422.935270729,357422.935270729,3.935888863069499,0.851006988739831,transient-slab
Li,1.0295755673125085e+19,2.828600681137559,378877.5503433989,378877.5503433989,4.172143932884768,0.9020894055795211,transient-slab
Li,1.0913767146512693e+19,2.828600681137559,401619.99689663376,401619.99689663376,4.42258041380066,0.956238087849128,transient-slab
Li,1.1568875283162786e+19,2.828600681137559,425727.5781081717,425727.5781081717,4.688049557055739,1.0136370907337422,transient-slab
Li,1.2263306841775593e+19,2.828600681137559,451282.2373446129,451282.2373446129,4.969453710966737,1.0744815174871736,transient-slab
Li,1.2999422244132422e+19,2.828600681137559,478370.83669269236,478370.83669269236,5.267749388074028,1.1389781826016485,transient-slab
Li,1.377972359833554e+19,2.828600681137559,507085.45220962976,507085.45220962976,5.583950516395107,1.207346314784833,transient-slab
Li,1.460686320364986e+19,2.828600681137559,537523.6868961345,537523.6868961345,5.919131885837352,1.2798183021336536,transient-slab
Li,1.548365256585496e+19,2.828600681137559,569789.0024558799,569789.0024558799,6.274432801484623,1.3566404820378093,transient-slab
Li,1.6413071953751267e+19,2.828600681137559,603991.0709691211,603991.0709691211,6.651060956175484,1.4380739784979075,transient-slab
Li,1.7398280529303622e+19,2.828600681137559,640246.1476758204,640246.1476758204,7.05029653553623,1.5243955897043344,transient-slab
Li,1.8442627085855328e+19,2.828600681137559,678677.4661353981,678677.4661353981,7.473496569422016,1.6158987288938051,transient-slab
Li,1.9549661430912594e+19,2.828600681137559,719415.6571062796,719415.6571062796,7.922099544556897,1.7128944216816182,transient-slab
Li,2.0723146452190294e+19,2.828600681137559,762599.1925690451,762599.1925690451,8.39763029405154,1.8157123632596313,transient-slab
Li,2.1967070907932353e+19,2.828600681137559,808374.8564024454,808374.8564024454,8.901705180418375,1.9247020390534415,transient-slab
Li,2.3285662984981967e+19,2.828600681137559,856898.2433121437,856898.2433121437,9.436037589701609,2.040233912647961,transient-slab
Li,2.468340467068651e+19,2.828600681137559,908334.2877080817,908334.2877080817,10.002443755397097,2.1627006850192423,transient-slab
Li,2.6165046987488236e+19,2.828600681137559,962857.8243281543,962857.8243281543,10.60284893195791,2.2925186293527484,transient-slab
Li,2.773562614198418e+19,2.828600681137559,1020654.1825137996,1020654.1825137996,11.239293938869828,2.430129005985237,transient-slab
Li,2.9400480643347137e+19,2.828600681137559,1081919.8161574854,1081919.8161574854,11.913942097540541,2.575999562279727,transient-slab
Li,3.1165269449294365e+19,2.828600681137559,1146862.9714633243,1146862.9714633243,12.629086584581458,2.7306261225317248,transient-slab
Li,3.303599120128346e+19,2.828600681137559,1215704.394790594,1215704.394790594,13.387158226476574,2.894534273310938,transient-slab
Li,3.50190046143172e+19,2.828600681137559,1288678.0829861567,1288678.0829861567,14.19073376213287,3.06828114996704,transient-slab
Li,3.712105009066372e+19,2.828600681137559,1366032.078756227,1366032.078756227,15.042544601397381,3.252457330371969,transient-slab
Li,3.934927263095861e+19,2.828600681137559,1448029.3137809993,1448029.3137809993,15.945486109311641,3.4476888423357126,transient-slab
Li,4.171124612056533e+19,2.828600681137559,1534948.5024379515,1534948.5024379515,16.90262744766143,3.654639291518932,transient-slab
Li,4.421499907374468e+19,2.828600681137559,1627085.089171629,1627085.089171629,17.917222007273665,3.874012117075307,transient-slab
Li,4.6869041923142115e+19,2.828600681137559,1724752.2527301924,1724752.2527301924,18.99271846652178,4.106552982690935,transient-slab
Li,4.9682395947343675e+19,2.828600681137559,1828281.9706818897,1828281.9706818897,20.132772513624733,4.353052311147357,transient-slab
Li,5.266462393484259e+19,2.828600681137559,1938026.1478303904,1938026.1478303904,21.341259272590936,4.614347971024738,transient-slab
Li,5.582586268862678e+19,2.828600681137559,2054357.8123638416,2054357.8123638416,22.62228647503595,4.891328124675813,transient-slab
Li,5.917685748188806e+19,2.828600681137559,2177672.3838040316,2177672.3838040316,23.980208422652446,5.184934247152457,transient-slab
Li,6.272899858196231e+19,2.828600681137559,2308389.017065176,2308389.017065176,25.419640787788108,5.4961643263456565,transient-slab
Li,6.649435996665032e+19,2.828600681137559,2446952.0271909973,2446952.0271909973,26.945476302441133,5.82607625521666,transient-slab
Li,7.048574036451889e+19,2.828600681137559,2593832.399612859,2593832.399612859,28.5629013890009,6.175791427649664,transient-slab
Li,7.471670675868067e+19,2.828600681137559,2749529.391062414,2749529.391062414,30.277413789262965,6.546498550148605,transient-slab
Li,7.920164050192541e+19,2.828600681137559,2914572.226580406,2914572.226580406,32.09484125164069,6.939457682334301,transient-slab
Li,8.395578619995103e+19,2.828600681137559,3089521.89838986,3089521.89838986,34.02136134009256,7.3560045199758575,transient-slab
Li,8.899530352885224e+19,2.828600681137559,3274973.0727481614,3274973.0727481614,36.06352243209726,7.79755493511467,transient-slab
Li,9.433732216299774e+19,2.828600681137559,3471556.111259554,3471556.111259554,38.22826597704995,8.265609788713224,transient-slab
Li,1e+20,2.828600681137559,3679939.2135186293,3679939.2135186293,40.522950090737645,8.761760032187214,transient-slab
Li,1e+18,2.9721969969364097,39636.88978272856,39636.88978272856,0.4364756082157625,0.09437354710173468,transient-slab
Li,1.0600258488068824e+18,2.9721969969364097,42016.12773600168,42016.12773600168,0.46267542708241377,0.10003839937143258,transient-slab
Li,1.1236548001387516e+18,2.9721969969364097,44538.18146693358,44538.18146693358,0.4904479123151226,0.10604328920698472,transient-slab
Li,1.191103133283008e+18,2.9721969969364097,47211.623613801225,47211.623613801225,0.5198874645474012,0.11240862765190768,transient-slab
Li,1.2626001098748577e+18,2.9721969969364097,50045.5413947707,50045.5413947707,0.551094150890917,0.11915605093993023,transient-slab
Li,1.3383887531737592e+18,2.9721969969364097,53049.567495991796,53049.567495991796,0.5841740450706525,0.1263084940380757,transient-slab
Li,1.418726674116599e+18,2.9721969969364097,56233.91281377669,56233.91281377669,0.6192395879769683,0.13389026860423023,transient-slab
Li,1.5038869469554132e+18,2.9721969969364097,59609.40116215586,59609.40116215586,0.65640996986011,0.14192714562418063,transient-slab
