electron_density,electron_temperature_ev,heat_flux,ion_current_density,normal_stress,surface_displacement
2.468340467068651e+19,2.2082177399473606,626543.2961903691,40533.22439669666,8.732877165738733,0.0002059260959580899
2.6165046987488236e+19,2.2082177399473606,664152.0893584578,42966.26559598821,9.257075530138444,0.0002182869846594618
2.773562614198418e+19,2.2082177399473606,704018.3822590638,45545.35215844936,9.812739346304426,0.00023138984619714095
2.9400480643347137e+19,2.2082177399473606,746277.6832298122,48279.25058096865,10.401757354687039,0.00024527921812041826
3.1165269449294365e+19,2.2082177399473606,791073.6346113154,51177.25357685147,11.026131668985363,0.00026000231138278485
3.303599120128346e+19,2.2082177399473606,838558.5009976052,54249.21166240703,11.687984581472653,0.0002756091708152878
3.50190046143172e+19,2.2082177399473606,888893.6867942134,57505.56663954724,12.389565776817307,0.00029215284523243656
3.712105009066372e+19,2.2082177399473606,942250.2848431151,60957.387088206815,13.133259978919467,0.0003096895677488593
3.934927263095861e+19,2.2082177399473606,998809.65797935,64616.40598922612,13.921595056755566,0.0003282789469196211
4.171124612056533e+19,2.2082177399473606,1058764.0554960724,68495.06060557954,14.757250616783018,0.0003479841693539009
4.421499907374468e+19,2.2082177399473606,1122317.2666134322,72606.5347575077,15.64306711111118,0.00036887221449072365
4.6869041923142115e+19,2.2082177399473606,1189685.3131725334,76964.80363525415,16.58205549239879,0.000391014082266807
4.9682395947343675e+19,2.2082177399473606,1261097.1839087862,81584.68130171465,17.577407448292714,0.0004144850344503129
5.266462393484259e+19,2.2082177399473606,1336795.6128008803,86481.87104648906,18.632506250200898,0.00043936485046094275
5.582586268862678e+19,2.2082177399473606,1417037.9041405695,91673.01876246191,19.750938253268753,0.0004657380985457699
5.917685748188806e+19,2.2082177399473606,1502096.807128133,97175.76952636795,20.93650508665353,0.0004936944232326831
6.272899858196231e+19,2.2082177399473606,1592261.442966107,103008.82757565017,22.19323657552952,0.0005233288500384492
6.649435996665032e+19,2.2082177399473606,1687838.287602619,109192.01988548036,23.52540443874763,0.0005547421084671367
7.048574036451889e+19,2.2082177399473606,1789152.2134647213,115746.36356204432,24.93753680870866,0.0005880409743967965
7.471670675868067e+19,2.2082177399473606,1896547.5937226533,122694.13728116604,26.434433622804267,0.0006233386330181902
7.920164050192541e+19,2.2082177399473606,2010389.4728385063,130058.9570150962,28.021182938742285,0.0006607550635592289
8.395578619995103e+19,2.2082177399473606,2131064.8073780583,137865.85630486516,29.703178229213222,0.0007004174471028172
8.899530352885224e+19,2.2082177399473606,2258983.7813034016,146141.37135105237,31.486136714683855,0.0007424605988843134
9.433732216299774e+19,2.2082177399473606,2394581.2002171194,154913.63121220111,33.3761187966323,0.0007870274265380106
1e+20,2.2082177399473606,2538317.9692971553,164212.45341746983,35.3795486572795,0.000834269415850251
1e+18,2.3203197888695093,27340.40530151855,1683.290469127174,0.371756214913454,8.766218112585617e-06
1.0600258488068824e+18,2.3203197888695093,28981.53633646639,1784.3314083250682,0.3940711972628679,9.292417795619835e-06
1.1236548001387516e+18,2.3203197888695093,30721.177654790295,1891.4374156625604,0.4177256553689159,9.850203061270095e-06
1.191103133283008e+18,2.3203197888695093,32565.242419866114,2004.9725520028016,0.4427999924008464,1.0441469860942985e-05
1.2626001098748577e+18,2.3203197888695093,34519.99873772046,2125.3227312712706,0.4693794377963882,1.1068227952137565e-05
1.3383887531737592e+18,2.3203197888695093,36592.090962764654,2252.8970322043906,0.49755433696261375,1.1732607729752687e-05
1.418726674116599e+18,2.3203197888695093,38788.56228242325,2388.1290888369654,0.5274204583663402,1.2436867467449282e-05
1.5038869469554132e+18,2.3203197888695093,41116.87865742433,2531.478564454811,0.5590793190578949,1.318340099368163e-05
1.5941590374560028e+18,2.3203197888695093,43584.954199125816,2683.432714022639,0.5926385297347188,1.3974745828488863e-05
1.689849786812462e+18,2.3203197888695093,46201.17807013743,2844.508040398004,0.628212160517708,1.4813591808704346e-05
1.7912844546220096e+18,2.3203197888695093,48974.44299967536,3015.252049960897,0.6659211286835891,1.5702790230900508e-05
1.898807824465269e+18,2.3203197888695093,51914.17551057515,3196.2451136264913,0.7058936096712586,1.6645363543146732e-05
2.0127853758499466e+18,2.3203197888695093,55030.36796070689,3388.102439566772,0.7482654727591301,1.7644515618523253e-05
2.133604526501402e+18,2.3203197888695093,58333.612507702914,3591.476164346407,0.7931807428943735,1.8703642645311248e-05
2.2616759492228552e+18,2.3203197888695093,61835.13711244955,3807.057569580986,0.8407920902438817,1.9826344670876658e-05
