material,velocity,magnetic_field,re,ha,interaction,rm,feedback,classification
PbLi,0.01060025848806882,1.747584686081229,2944.5162466857832,1889.9711421496968,1213.0994088346781,0.0005328271070763177,9.31160492655536e-06,drag-important
PbLi,0.01060025848806882,1.8151267807296594,2944.5162466857832,1963.0163060164757,1308.6811872829103,0.0005328271070763177,9.671487515529339e-06,drag-important
PbLi,0.01060025848806882,1.8852792979721031,2944.5162466857832,2038.884579636273,1411.7939861114953,0.0005328271070763177,1.0045279143693467e-05,drag-important
PbLi,0.01060025848806882,1.958143127574487,2944.5162466857832,2117.685072883796,1523.0311848211068,0.0005328271070763177,1.0433517379068864e-05,drag-important
PbLi,0.01060025848806882,2.0338230585736428,2944.5162466857832,2199.531112602203,1643.0329161030957,0.0005328271070763177,1.0836760566049022e-05,drag-important
PbLi,0.01060025848806882,2.1124279299795465,2944.5162466857832,2284.54040558398,1772.4897495879775,0.0005328271070763177,1.125558862838216e-05,drag-important
PbLi,0.01060025848806882,2.1940707873020178,2944.5162466857832,2372.835207850829,1912.1466658415472,0.0005328271070763177,1.169060390318793e-05,drag-important
PbLi,0.01060025848806882,2.278869045127002,2944.5162466857832,2464.542500476041,2062.8073434776547,0.0005328271070763177,1.2142432007207907e-05,drag-important
PbLi,0.01060025848806882,2.3669446559762215,2944.5162466857832,2559.794172202177,2225.3387840584965,0.0005328271070763177,1.2611722736535599e-05,drag-important
PbLi,0.01060025848806882,2.4584242856930683,2944.5162466857832,2658.727209116729,2400.676301397213,0.0005328271070763177,1.309915100112e-05,drag-important
PbLi,0.01060025848806882,2.553439495606943,2944.5162466857832,2761.4838916585054,2589.828903974518,0.0005328271070763177,1.360541779538659e-05,drag-important
PbLi,0.01060025848806882,2.6521269317380396,2944.5162466857832,2868.211999238091,2793.8851014433726,0.0005328271070763177,1.41312512063717e-05,drag-important
PbLi,0.01060025848806882,2.7546285213146695,2944.5162466857832,2979.065022766645,3014.0191686361873,0.0005328271070763177,1.4677407460820101e-05,drag-important
PbLi,0.01060025848806882,2.8610916768857493,2944.5162466857832,3094.202385398685,3251.4979031218054,0.0005328271070763177,1.5244672012751644e-05,drag-important
PbLi,0.01060025848806882,2.9716695083219946,2944.5162466857832,3213.789671806322,3507.68791519973,0.0005328271070763177,1.5833860673061116e-05,drag-important
PbLi,0.01060025848806882,3.086521043010717,2944.5162466857832,3337.9988663146796,3784.063492283086,0.0005328271070763177,1.6445820782775787e-05,drag-important
PbLi,0.01060025848806882,3.2058114545608856,2944.5162466857832,3467.008600240959,4082.21508292716,0.0005328271070763177,1.7081432431657985e-05,drag-important
PbLi,0.01060025848806882,3.3297123003473708,2944.5162466857832,3601.004408792873,4403.858449326285,0.0005328271070763177,1.7741609723905203e-05,drag-important
PbLi,0.01060025848806882,3.458401768235997,2944.5162466857832,3740.178997895903,4750.844540948597,0.0005328271070763177,1.8427302092768076e-05,drag-important
PbLi,0.01060025848806882,3.592064932844225,2944.5162466857832,3884.732521333116,5125.170146128102,0.0005328271070763177,1.9139495665976756e-05,drag-important
PbLi,0.01060025848806882,3.730894021706014,2944.5162466857832,4034.8728685961046,5528.989382910427,0.0005328271070763177,1.9879214683939436e-05,drag-important
PbLi,0.01060025848806882,3.8750886917236347,2944.5162466857832,4190.815963861036,5964.626095278152,0.0005328271070763177,2.0647522972752564e-05,drag-important
PbLi,0.01060025848806882,4.024856316304029,2944.5162466857832,4352.78607651977,6434.587226091889,0.0005328271070763177,2.14455254741412e-05,drag-important
PbLi,0.01060025848806882,4.180412283592646,2944.5162466857832,4521.016143712635,6941.577243703838,0.0005328271070763177,2.2274369834529718e-05,drag-important
PbLi,0.01060025848806882,4.34198030623367,2944.5162466857832,4695.74810532673,7488.513705264195,0.0005328271070763177,2.31352480555283e-05,drag-important
PbLi,0.01060025848806882,4.509792743102108,2944.5162466857832,4877.233251941492,8078.544046281907,0.0005328271070763177,2.4029398208208666e-05,drag-important
PbLi,0.01060025848806882,4.684090933470462,2944.5162466857832,5065.73258622199,8715.06369305822,0.0005328271070763177,2.4958106213634747e-05,drag-important
PbLi,0.01060025848806882,4.865125544090534,2944.5162466857832,5261.5171982796055,9401.735602223782,0.0005328271070763177,2.5922707692208553e-05,drag-important
PbLi,0.01060025848806882,5.053156929689541,2944.5162466857832,5464.868655539986,10142.511339822937,0.0005328271070763177,2.6924589884491254e-05,drag-important
PbLi,0.01060025848806882,5.2484555073989805,2944.5162466857832,5676.079407678933,10941.653821248174,0.0005328271070763177,2.7965193646261655e-05,drag-important
PbLi,0.01060025848806882,5.451302145654736,2944.5162466857832,5895.453207208576,11803.761842885435,0.0005328271070763177,2.9046015520681365e-05,drag-important
PbLi,0.01060025848806882,5.661988568127707,2944.5162466857832,6123.305546318719,12733.796546641628,0.0005328271070763177,3.016860989054668e-05,drag-important
PbLi,0.01060025848806882,5.880817773265887,2944.5162466857832,6359.9641106015915,13737.109969648853,0.0005328271070763177,3.1334591213722545e-05,drag-important
PbLi,0.01060025848806882,6.108104470051255,2944.5162466857832,6605.769250312519,14819.475843439264,0.0005328271070763177,3.254563634497334e-05,drag-important
PbLi,0.01060025848806882,6.344175530598146,2944.5162466857832,6861.074469844271,15987.122819829454,0.0005328271070763177,3.3803486947529724e-05,drag-important
PbLi,0.01060025848806882,6.589370460244033,2944.5162466857832,7126.246936119025,17246.770314718196,0.0005328271070763177,3.5109951997859713e-05,drag-important
PbLi,0.01060025848806882,6.844041885808749,2944.5162466857832,7401.668006629062,18605.667176066512,0.0005328271070763177,3.646691038724621e-05,drag-important
PbLi,0.01060025848806882,7.108556062724371,2944.5162466857832,7687.733777885637,20071.633398581347,0.0005328271070763177,3.7876313623912445e-05,drag-important
PbLi,0.01060025848806882,7.383293401765052,2944.5162466857832,7984.855655064726,21653.10512515671,0.0005328271070763177,3.9340188639581365e-05,drag-important
PbLi,0.01060025848806882,7.668649016134385,2944.5162466857832,8293.46094366896,23359.18319404073,0.0005328271070763177,4.086064070450533e-05,drag-important
PbLi,0.01060025848806882,7.965033289697003,2944.5162466857832,8613.993464056537,25199.685511100834,0.0005328271070763177,4.24398564551582e-05,drag-important
PbLi,0.01060025848806882,8.272872467171695,2944.5162466857832,8946.914189721,27185.203548572244,0.0005328271070763177,4.4080107038944126e-05,drag-important
PbLi,0.01060025848806882,8.59260926713478,2944.5162466857832,9292.701910239759,29327.163295420854,0.0005328271070763177,4.578375138044582e-05,drag-important
PbLi,0.01060025848806882,8.924703518715342,2944.5162466857832,9651.853919844798,31637.89101006939,0.0005328271070763177,4.755323957390928e-05,drag-important
PbLi,0.01060025848806882,9.26963282289799,2944.5162466857832,10024.886732605826,34130.68415387173,0.0005328271070763177,4.939111640684414e-05,drag-important
PbLi,0.01060025848806882,9.627893239384193,2944.5162466857832,10412.336825254431,36819.88791353371,0.0005328271070763177,5.1300025019807156e-05,drag-important
PbLi,0.01060025848806882,10.0,2944.5162466857832,10814.761408717502,39720.97775284117,0.0005328271070763177,5.3282710707631766e-05,drag-important
PbLi,0.01123654800138751,0.5,3121.263333718753,540.7380704358751,93.67926687247609,0.0005648105064458892,2.8240525322294464e-06,drag-important
PbLi,0.01123654800138751,0.5193244124838053,3121.263333718753,561.6369614734748,101.06038573725174,0.0005648105064458892,2.93319884424692e-06,drag-important
PbLi,0.01123654800138751,0.5393956908032993,3121.263333718753,583.3435700928039,109.0230731551856,0.0005648105064458892,3.0465635329734175e-06,drag-important
PbLi,0.01123654800138751,0.5602427004454394,3121.263333718753,605.8891136293018,117.61315171607993,0.0005648105064458892,3.1643096337120125e-06,drag-important
PbLi,0.01123654800138751,0.5818954225143368,3121.263333718753,629.3060159317416,126.8800544348963,0.0005648105064458892,3.286606482888673e-06,drag-important
