y,ux
-4.245680000000000009e-01,4.999792076099999431e-04
-4.205260000000000109e-01,4.999793859239999019e-04
-4.164689999999999781e-01,4.999799739650000185e-04
-4.124120000000000008e-01,4.999799659140000477e-04
-4.083399999999999808e-01,4.999805876024999898e-04
-4.042689999999999895e-01,4.999805897059999811e-04
-4.001830000000000109e-01,4.999811587599999746e-04
-3.960969999999999769e-01,4.999809879219999781e-04
-3.919980000000000131e-01,4.999816174100000067e-04
-3.878980000000000206e-01,4.999814787819999769e-04
-3.837849999999999873e-01,4.999820143899999861e-04
-3.796720000000000095e-01,4.999817647740000242e-04
-3.755450000000000177e-01,4.999823355675000547e-04
-3.714189999999999992e-01,4.999821269219999805e-04
-3.672799999999999954e-01,4.999825929675000237e-04
-3.631400000000000183e-01,4.999823629799999506e-04
-3.589879999999999738e-01,4.999828496275000259e-04
-3.548359999999999848e-01,4.999825866619999563e-04
-3.506719999999999837e-01,4.999830637175000942e-04
-3.465070000000000094e-01,4.999827648180001083e-04
-3.423309999999999964e-01,4.999832842699999686e-04
-3.381540000000000101e-01,4.999827498620000197e-04
-3.339659999999999851e-01,4.999834131900000780e-04
-3.297780000000000156e-01,4.999827681180000300e-04
-3.255779999999999785e-01,4.999835118999999958e-04
-3.213790000000000258e-01,4.999827101179999365e-04
-3.171680000000000055e-01,4.999836472300000232e-04
-3.129569999999999852e-01,4.999827260019999980e-04
-3.087349999999999817e-01,4.999836950024999548e-04
-3.045129999999999781e-01,4.999827678119999046e-04
-3.002810000000000201e-01,4.999838174650000563e-04
-2.960490000000000066e-01,4.999828068940000191e-04
-2.918060000000000098e-01,4.999838652099999588e-04
-2.875639999999999863e-01,4.999829450560000889e-04
-2.833109999999999795e-01,4.999838876475000589e-04
-2.790590000000000015e-01,4.999829151040001158e-04
-2.747970000000000135e-01,4.999839761700000445e-04
-2.705350000000000255e-01,4.999830710160000063e-04
-2.662630000000000274e-01,4.999840136274999285e-04
-2.619920000000000027e-01,4.999830441920000623e-04
-2.577110000000000234e-01,4.999840470100000347e-04
-2.534310000000000174e-01,4.999830411420000311e-04
-2.491410000000000013e-01,4.999840795599999480e-04
-2.448519999999999863e-01,4.999831401279999834e-04
-2.405539999999999901e-01,4.999840521274999915e-04
-2.362569999999999948e-01,4.999832148739999545e-04
-2.319509999999999905e-01,4.999841093525000122e-04
-2.276449999999999863e-01,4.999834312760000066e-04
-2.233310000000000017e-01,4.999840929099999814e-04
-2.190169999999999895e-01,4.999836890400000382e-04
-2.146959999999999980e-01,4.999841370325000143e-04
-2.103750000000000064e-01,4.999838135539999518e-04
-2.060470000000000079e-01,4.999841658724999555e-04
-2.017180000000000084e-01,4.999840184320000422e-04
-1.973830000000000029e-01,4.999841166925000392e-04
-1.930469999999999964e-01,4.999841834879999430e-04
-1.887050000000000116e-01,4.999841932575000390e-04
-1.843629999999999991e-01,4.999840524780000024e-04
-1.800150000000000083e-01,4.999841605375000440e-04
-1.756659999999999888e-01,4.999844891740000017e-04
-1.713119999999999921e-01,4.999841502975000069e-04
-1.669579999999999953e-01,4.999842620659999525e-04
-1.625969999999999915e-01,4.999842211900001020e-04
-1.582369999999999888e-01,4.999845471760000146e-04
-1.538720000000000088e-01,4.999841388700000016e-04
-1.495060000000000000e-01,4.999844467720000133e-04
-1.451349999999999862e-01,4.999841953899999449e-04
-1.407650000000000012e-01,4.999843456359999395e-04
-1.363890000000000102e-01,4.999842190449999956e-04
-1.320139999999999925e-01,4.999841494659999904e-04
-1.276339999999999975e-01,4.999841545175000073e-04
-1.232540000000000024e-01,4.999844469620000472e-04
-1.188690000000000024e-01,4.999842368499999830e-04
-1.144850000000000034e-01,4.999839677040000081e-04
-1.100970000000000004e-01,4.999842234749999823e-04
-1.057089999999999974e-01,4.999844939619999679e-04
-1.013170000000000043e-01,4.999841412724999670e-04
-9.692499999999999727e-02,4.999840548000000166e-04
-9.253000000000000114e-02,4.999842740200000253e-04
-8.813500000000000500e-02,4.999840535980000370e-04
-8.373700000000000587e-02,4.999841545899999561e-04
-7.933800000000000574e-02,4.999840824979999432e-04
-7.493800000000000461e-02,4.999842314000000482e-04
-7.053700000000000248e-02,4.999838317999999318e-04
-6.613299999999999734e-02,4.999842235149999951e-04
-6.173000000000000015e-02,4.999840087640000262e-04
-5.732500000000000095e-02,4.999841994150000047e-04
-5.291900000000000076e-02,4.999837906559999410e-04
-4.851199999999999957e-02,4.999842049324999815e-04
-4.410499999999999837e-02,4.999838326960001113e-04
-3.969600000000000212e-02,4.999842064199999919e-04
-3.528799999999999992e-02,4.999836940980000640e-04
-3.087799999999999920e-02,4.999841981525000260e-04
-2.646799999999999847e-02,4.999840359380000555e-04
-2.205700000000000022e-02,4.999841788150000002e-04
-1.764599999999999849e-02,4.999841684740000255e-04
-1.323500000000000024e-02,4.999842337675000159e-04
-8.822999999999999246e-03,4.999843569159999855e-04
-4.412000000000000123e-03,4.999841577025000141e-04
0.000000000000000000e+00,4.999845330460001101e-04
4.412000000000000123e-03,4.999842359499999649e-04
8.822999999999999246e-03,4.999841506560000204e-04
1.323500000000000024e-02,4.999841745775000009e-04
1.764599999999999849e-02,4.999845328939999528e-04
2.205700000000000022e-02,4.999842074799999529e-04
2.646799999999999847e-02,4.999841832719999820e-04
3.087799999999999920e-02,4.999841987374999564e-04
3.528799999999999992e-02,4.999847368259999290e-04
3.969600000000000212e-02,4.999841900925000929e-04
4.410499999999999837e-02,4.999843486200000308e-04
