y,ux
-4.625000000000000222e-01,3.173961282749999946e-03
-4.500000000000000111e-01,3.209757746320000306e-03
-4.375000000000000000e-01,3.244667949049999736e-03
-4.249999999999999889e-01,3.278023753160000213e-03
-4.124999999999999778e-01,3.310523977449999957e-03
-4.000000000000000222e-01,3.341522665499999708e-03
-3.875000000000000111e-01,3.371694312050000156e-03
-3.750000000000000000e-01,3.400413523539999681e-03
-3.624999999999999889e-01,3.428332160649999894e-03
-3.499999999999999778e-01,3.454843825360000373e-03
-3.375000000000000222e-01,3.480579378299999971e-03
-3.250000000000000111e-01,3.504949896839999659e-03
-3.125000000000000000e-01,3.528566822750000415e-03
-2.999999999999999889e-01,3.550857232779999848e-03
-2.874999999999999778e-01,3.572414682374999706e-03
-2.750000000000000222e-01,3.592680811719999815e-03
-2.625000000000000111e-01,3.612232777450000154e-03
-2.500000000000000000e-01,3.630525383919999856e-03
-2.374999999999999889e-01,3.648120835199999794e-03
-2.250000000000000056e-01,3.664485733760000120e-03
-2.124999999999999944e-01,3.680168739899999930e-03
-2.000000000000000111e-01,3.694646917459999680e-03
-1.875000000000000000e-01,3.708456758000000172e-03
-1.749999999999999889e-01,3.721084476080000012e-03
-1.625000000000000056e-01,3.733055739099999833e-03
-1.499999999999999944e-01,3.743864624800000325e-03
-1.375000000000000111e-01,3.754027293549999904e-03
-1.250000000000000000e-01,3.763044418599999826e-03
-1.125000000000000028e-01,3.771423946650000018e-03
-1.000000000000000056e-01,3.778671894999999833e-03
-8.749999999999999445e-02,3.785289269999999630e-03
-7.499999999999999722e-02,3.790786194580000098e-03
-6.250000000000000000e-02,3.795657990449999818e-03
-5.000000000000000278e-02,3.799417658499999566e-03
-3.749999999999999861e-02,3.802556077175000236e-03
-2.500000000000000139e-02,3.804587904879999823e-03
-1.250000000000000069e-02,3.806000806825000395e-03
0.000000000000000000e+00,3.806309882719999867e-03
1.250000000000000069e-02,3.806000806800000427e-03
2.500000000000000139e-02,3.804587904860000196e-03
3.749999999999999861e-02,3.802556077200000204e-03
5.000000000000000278e-02,3.799417658480000373e-03
6.250000000000000000e-02,3.795657990449999818e-03
7.499999999999999722e-02,3.790786194480000228e-03
8.749999999999999445e-02,3.785289270000000497e-03
1.000000000000000056e-01,3.778671894920000024e-03
1.125000000000000028e-01,3.771423946650000018e-03
1.250000000000000000e-01,3.763044418499999957e-03
1.375000000000000111e-01,3.754027293550000338e-03
1.499999999999999944e-01,3.743864624680000395e-03
1.625000000000000056e-01,3.733055739124999800e-03
1.749999999999999889e-01,3.721084475980000143e-03
1.875000000000000000e-01,3.708456758000000172e-03
2.000000000000000111e-01,3.694646917359999810e-03
2.124999999999999944e-01,3.680168739949999865e-03
2.250000000000000056e-01,3.664485733699999939e-03
2.374999999999999889e-01,3.648120835199999794e-03
2.500000000000000000e-01,3.630525383839999613e-03
2.625000000000000111e-01,3.612232777450000154e-03
2.750000000000000222e-01,3.592680811660000501e-03
2.874999999999999778e-01,3.572414682399999673e-03
2.999999999999999889e-01,3.550857232700000039e-03
