y,ux
-8.209340000000000526e-01,8.333014722000000717e-04
-8.155630000000000379e-01,8.419503861159999053e-04
-8.100650000000000350e-01,8.504849231500000032e-04
-8.045660000000000034e-01,8.584219057640000983e-04
-7.989420000000000410e-01,8.662393501375000330e-04
-7.933179999999999676e-01,8.734975069760000151e-04
-7.875710000000000210e-01,8.806335078775000616e-04
-7.818239999999999634e-01,8.872484225060000076e-04
-7.759570000000000078e-01,8.937407225124999882e-04
-7.700890000000000235e-01,8.997497522300000041e-04
-7.641029999999999767e-01,9.056375062499999722e-04
-7.581179999999999586e-01,9.110786196820000026e-04
-7.520160000000000178e-01,9.164012526399999137e-04
-7.459139999999999660e-01,9.213127061520000240e-04
-7.396989999999999954e-01,9.261096326374999421e-04
-7.334840000000000249e-01,9.305294632159999890e-04
-7.271579999999999711e-01,9.348396118675000518e-04
-7.208320000000000283e-01,9.388053182159999044e-04
-7.143979999999999775e-01,9.426668480500000058e-04
-7.079630000000000090e-01,9.462148414760001170e-04
-7.014230000000000187e-01,9.496646139974999987e-04
-6.948819999999999997e-01,9.528296643760000503e-04
-6.882369999999999877e-01,9.559027189250000542e-04
-6.815930000000000044e-01,9.587185009580000226e-04
-6.748469999999999747e-01,9.614486484574999913e-04
-6.681009999999999449e-01,9.639472201819999572e-04
-6.612559999999999549e-01,9.663665334300000111e-04
-6.544119999999999937e-01,9.685776076000000238e-04
-6.474710000000000187e-01,9.707157128399999512e-04
-6.405290000000000150e-01,9.726674764840000185e-04
-6.334940000000000015e-01,9.745523969500000539e-04
-6.264589999999999881e-01,9.762711442740001000e-04
-6.193319999999999936e-01,9.779289452750000722e-04
-6.122049999999999992e-01,9.794383428619998690e-04
-6.049879999999999702e-01,9.808923989550000309e-04
-5.977719999999999700e-01,9.822144889160000503e-04
-5.904690000000000216e-01,9.834865316799999355e-04
-5.831659999999999622e-01,9.846419326620000061e-04
-5.757780000000000120e-01,9.857522388749999712e-04
-5.683909999999999796e-01,9.867594269779998619e-04
-5.609210000000000029e-01,9.877261247899999166e-04
-5.534510000000000263e-01,9.886018531319999171e-04
-5.459019999999999984e-01,9.894413404499999808e-04
-5.383529999999999704e-01,9.902010822639998808e-04
-5.307269999999999488e-01,9.909285032424998332e-04
-5.231000000000000094e-01,9.915862271259998952e-04
-5.153990000000000515e-01,9.922152198600000649e-04
-5.076979999999999826e-01,9.927831958700000271e-04
-4.999239999999999795e-01,9.933257296149999079e-04
-4.921499999999999764e-01,9.938149655040000828e-04
-4.843069999999999875e-01,9.942817526399998738e-04
-4.764630000000000254e-01,9.947021489340002014e-04
-4.685520000000000240e-01,9.951028195074999340e-04
-4.606410000000000227e-01,9.954631059159999625e-04
-4.526649999999999840e-01,9.958061138075000041e-04
-4.446880000000000277e-01,9.961139444000001193e-04
-4.366490000000000093e-01,9.964066904550000596e-04
-4.286099999999999910e-01,9.966689788599998167e-04
-4.205110000000000237e-01,9.969181389325001193e-04
-4.124120000000000008e-01,9.971409325719997503e-04
-4.042549999999999755e-01,9.973523451774998251e-04
-3.960969999999999769e-01,9.975410379139998569e-04
-3.878849999999999798e-01,9.977199108950000461e-04
-3.796720000000000095e-01,9.978791964380001080e-04
-3.714060000000000139e-01,9.980300516450001363e-04
-3.631400000000000183e-01,9.981640878700000739e-04
-3.548239999999999728e-01,9.982909496550000216e-04
-3.465070000000000094e-01,9.984033053640002826e-04
-3.381430000000000269e-01,9.985095937225000554e-04
-3.297780000000000156e-01,9.986033203500000333e-04
-3.213670000000000138e-01,9.986919968649999538e-04
-3.129569999999999852e-01,9.987697749379998834e-04
-3.045030000000000237e-01,9.988433751024999689e-04
-2.960490000000000066e-01,9.989076580819999680e-04
-2.875539999999999763e-01,9.989685878275000354e-04
-2.790590000000000015e-01,9.990213282519999106e-04
-2.705250000000000155e-01,9.990713777350002101e-04
-2.619920000000000027e-01,9.991143703840001111e-04
-2.534219999999999806e-01,9.991553400474999756e-04
-2.448519999999999863e-01,9.991902618280000970e-04
-2.362480000000000135e-01,9.992236581424999552e-04
-2.276449999999999863e-01,9.992517282220001081e-04
-2.190100000000000102e-01,9.992788134925000704e-04
-2.103750000000000064e-01,9.993011109839999503e-04
